Acrocephalus vaughani,,Pitcairn Reed-warbler, Pitcairn Reed Warbler, Pitcairn Reed-Warbler,,,,,,,,,,,,,,,,,,,,,,,,,,
Acropternis orthonyx,,Ocellated Tapaculo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acryllium vulturinum,,Vulturine Guineafowl,,,,,,,,,,Pintade vulturine,,,,,,,,,,,,,,,,,,
Actenoides bougainvillei,,Bougainville Moustached Kingfisher, Moustached Kingfisher,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actenoides capucinus,,Black-headed Kingfisher,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actenoides concretus,,Rufous-collared Kingfisher,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actenoides excelsus,,Guadalcanal Moustached Kingfisher,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actenoides hombroni,,Blue-capped Kingfisher, Hombron's Kingfisher,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actenoides lindsayi,,Spotted Kingfisher, Spotted Wood Kingfisher,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actenoides monachus,,Blue-headed Kingfisher, Green-backed Kingfisher,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actenoides princeps,,Scaly-breasted Kingfisher, Scaly Kingfisher,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actenoides regalis,,Plain-backed Kingfisher,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinodura egertoni,,Rusty-fronted Barwing,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinodura morrisoniana,,Taiwan Barwing, Formosan Barwing,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinodura nipalensis,,Hoary-throated Barwing,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinodura ramsayi,,Spectacled Barwing,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinodura sodangorum,,Black-crowned Barwing,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinodura souliei,,Streaked Barwing,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinodura waldeni,,Streak-throated Barwing,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actitis hypoleucos,,Common Sandpiper,,,,,,,,,,Chevalier guignette,,,,,,,,,,,,,,,,,,
Actitis macularius,,Spotted Sandpiper,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actophilornis africanus,,African Jacana,,,,,,,,,,Jacana à poitrine dorée,,,,,,,,,,,,,,,,,,
Actophilornis albinucha,,Madagascar Jacana,,,,,,,,,,Jacana à nuque blanche,,,,,,,,,,,,,,,,,,
Addax nasomaculatus,,Addax,,,,,,,,,,Addax, Antilope Blanche,,,,,,,,,,,,,,,,,
Adelomyia melanogenys,,Speckled Hummingbird,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aechmophorus clarkii,,Clark's Grebe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aechmophorus occidentalis,,Western Grebe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aegialomys galapagoensis,,Galapagos Rice Rat, Galapagos Oryzomys,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aegialomys xanthaeolus,,Yellowish Rice Rat, Yellowish Oryzomys,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aegithalos caudatus,,Long-tailed Tit, Long-tailed Bushtit,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aegithalos concinnus,,Black-throated Tit, Black-throated Bushtit,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aegithalos fuliginosus,,White-necklaced Tit, Sooty Bushtit,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aegithalos iouschistos,,Black-browed Tit, Rufous-fronted Bushtit,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aegithalos leucogenys,,White-cheeked Tit, White-cheeked Bushtit,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aegithalos niveogularis,,White-throated Tit, White-throated Bushtit,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aegithina lafresnayei,,Great Iora,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aegithina nigrolutea,,White-tailed Iora, Marshall's Iora,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aegithina tiphia,,Common Iora,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aegithina viridissima,,Green Iora,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aegolius acadicus,,Northern Saw-whet Owl,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aegolius funereus,,Boreal Owl, Tengmalm's Owl,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aegolius gradyi,,Bermuda Saw-whet Owl,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aegolius harrisii,,Buff-fronted Owl,,,,,,,,,,,,,,,Curucucú Barriga Amarilla, Carburé Acanelado, Lechucita Acanelada, Mochuelo Canela,,,,,,,,,,
Aegolius ridgwayi,,Unspotted Saw-whet Owl, Unspotted Saw-whet Owl,,,,,,,,,,,,,,Mochuelo Moreno,,,,,,,,,,,,,
Aegotheles affinis,,Allied Owlet-nightjar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aegotheles albertisi,,Mountain Owlet-nightjar, Mountain Owlet-Nightjar,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aegotheles archboldi,,Archbold's Owlet-nightjar, Archbold's Owlet-Nightjar,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aegotheles bennettii,,Barred Owlet-nightjar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aegotheles crinifrons,,Moluccan Owlet-nightjar, Long-whiskered Owlet-Nightjar,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aegotheles cristatus,,Australian Owlet-nightjar, Australian Owlet-Nightjar,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aegotheles insignis,,Feline Owlet-nightjar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aegotheles savesi,,New Caledonian Owlet-nightjar, Enigmatic Owlet-Nightjar, New Caledonian Owlet-Nightjar,,,,,,,,,,,,,,,,,,,,,,,,,,
Aegotheles tatei,,Spangled Owlet-nightjar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aegotheles wallacii,,Wallace's Owlet-nightjar, Wallace's Owlet-Nightjar,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aegypius monachus,,Cinereous Vulture, Eurasian Black Vulture, Black Vulture,,,,,,,,Vautour moine,,,,,Buitre Negro,,,,,,,,,,,,,
Aepeomys lugens,,Olive Montane Mouse, Mérida Aepeomys,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aepeomys reigi,,Reig's Aepeomys, Reig's Montane Mouse,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aepyceros melampus,,Impala, Black-faced Impala, Common Impala,,,,,,,,Impala,,,,,,,,,,,,,,,,,,
Aepypodius arfakianus,,Wattled Brush-turkey, Wattled Brushturkey,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aepypodius bruijnii,,Waigeo Brush-turkey, Waigeo Brush-turkey, Waigeo Brushturkey,,,,,,,,,,,,,,,,,,,,,,,,,,
Aepyprymnus rufescens,,Rufous Bettong, Rufous Rat-kangaroo,,,,,,,,,Kangourou-rat Roussâtre,,,,,,,,,,,,,,,,,,
