id,virus,host
605,VRL,Cricetomys gambianus
606,VRL,giant rat
607,TBEV,Cervus elaphus
608,TBEV,red deer
609,TBEV,Vulpes vulpes
610,TBEV,Cervus elaphus
611,TBEV,Vulpes vulpes
612,TBEV,red deer
613, TBEV ,Cervus elaphus
614, TBEV ,red deer
615, TBEV ,Vulpes vulpes
616, TBEV ,Cervus elaphus
617, TBEV ,Vulpes vulpes
618, TBEV ,red deer
619,tick  borne encephalitis virus,Cervus elaphus
620,tick  borne encephalitis virus,red deer
621,tick  borne encephalitis virus,Vulpes vulpes
622,tick  borne encephalitis virus,Cervus elaphus
623,tick  borne encephalitis virus,Vulpes vulpes
624,tick  borne encephalitis virus,red deer
625,tick  borne encephalitis virus,Cervus elaphus
626,tick  borne encephalitis virus,red deer
627,tick  borne encephalitis virus,Vulpes vulpes
628,tick  borne encephalitis virus,Cervus elaphus
629,tick  borne encephalitis virus,Vulpes vulpes
630,tick  borne encephalitis virus,red deer
631,ZIKV,human
632,Japanese encephalitis,human
633, WNV ,human
634,West Nile virus,human
635,USUV,human
636,ZIKV,human
637,WNV,chicken
638,WNV,chicken
639,WNV,chicken
640,WNV,chicken
641,Uganda S virus,mice
642,VRL,mice
643,WNV,Mus spretus
644,WNV,long  tailed field mouse
645,WNV,mouse
646,WNV,Apodemus sylvaticus
647,WNV,western Mediterranean mouse
648,WNV,Apodemus
649, ICR ,mice
650,TBE virus,dog
651, RSSE ,dog
652,RSSE,dog
653,TBEV,M arvalis
654,Japanese encephalitis,human
655,TBEV,MICE
656,TBEV,MICE
657,JEV,human
658,TYUV,monkey
659,Tick  Borne Encephalitis Virus,Microtus arvalis
660,SLEV,horse
661,SLEV,chicken
662,WNV,horse
663,WNV,chicken
664,EEEV,horse
665,EEEV,chicken
666,WNV,human
667,Dakar bat,Xerus erythropus
668,West Nile,Xerus erythropus
669,Semliki Forest,Xerus erythropus
670,Bluetongue,Xerus erythropus
671,Uganda S,Xerus erythropus
672,Lebombo,Xerus erythropus
673,TBEV,M arvalis
674,TBEV,coal tit
675,TBEV,pigeon
676,TBEV,Riparia riparia
677,TBEV,Carduelis carduelis
678,TBEV,willow warbler
679,TBEV,Phylloscopus collybita
680,TBEV,Parus ater
681,TBEV,Mergus merganser
682,TBEV,Columba livia
683,TBEV,Pyrrhula pyrrhula
684,TBEV,waxwing
685,TBEV,shoveler
686,TBEV,Vanellus vanellus
687,TBEV,European pied flycatcher
688,TBEV,Phylloscopus trochilus
689,TBEV,willow tit
690,TBEV,mallard
691,TBEV,starling
692,TBEV,Corvus monedula
693,TBEV,Phylloscopus proregulus
694,TBEV,Ficedula hypoleuca
695,TBEV,teal
696,TBEV,Parus montanus
697,TBEV,Dendrocopos major
698,TBEV,willow warbler
699,TBEV,goldfinch
700,TBEV,Anas platyrhynchos
701,TBEV,Sturnus vulgaris
702,TBEV,Anas crecca
703,WNV,C occidentalis
704,WNV,Crocidura olivieri
705,Chikungunya,Rhesus macaque
706,USUV,Garden Warbler
707,USUV,Nightingale
708,SLEV,human
709,SLEV,Northern mockingbird
710,SLEV,Mimus polyglottos
711,TBE,human
712,TBEV,M arvalis
713,tick  borne encephalitis,Sheep
714,WNV,human
715,USUV,human
716,TBE,human
717,West Nile virus,house sparrow
718,West Nile virus,Passer domesticus
719,SLE,human
720,West Nile,human
721,Sindbis,human
722,TBEV,M arvalis
723,TBEV,M arvalis
724,TBEV,M arvalis
725,WNV,American kestrel
726,Usutu virus,human
727,WNV,Caribbean elaenia
728,WNV,Elaenia martinica
729,WNV,Caribbean elaenia
730,WNV,Elaenia martinica
731,KOU virus,CAT
732,West Nile Virus,CAT
733,GCG,CAT
734,WNV,C modestus
735,WEST NILE VIRUS,C modestus
736,SINV,capercaillie
737,SINV,black grouse
738,USUV,human
739,TBEV,M agrestis
740,TBEV,M glareolus
741,WNV,mouse
742,WNV,mouse
743,USUV,mute swan
744,WNV,mute swan
745,WNV,mute swan
746,USUV,mute swan
747,TBEV,M glareolus
748,TBE,M glareolus
749,TBEV,human
750,TBE,human
751,DEN,human
752,SINV,Erithacus rubecula
753,SINV,robin
754,SINV,Erithacus rubecula
755,SINV,robin
