id,virus,host
2965,WNV,Prairie warbler
2966,SLEV,Caribbean dove
2967,SLEV,Golden warbler
2968,SLEV,Yellow warbler
2969,SLEV,Caribbean elaenia
2970,SLEV,Pearly  eyed thrasher
2971,SLEV,Dendroica petechia
2972,SLEV,Northern waterthrush
2973,SLEV,Prairie warbler
2974,West Nile virus,Caribbean dove
2975,West Nile virus,Golden warbler
2976,West Nile virus,Yellow warbler
2977,West Nile virus,Caribbean elaenia
2978,West Nile virus,Pearly  eyed thrasher
2979,West Nile virus,Dendroica petechia
2980,West Nile virus,Northern waterthrush
2981,West Nile virus,Prairie warbler
2982,SLEV,Caribbean dove
2983,SLEV,Golden warbler
2984,SLEV,Yellow warbler
2985,SLEV,Caribbean elaenia
2986,SLEV,Pearly  eyed thrasher
2987,SLEV,Dendroica petechia
2988,SLEV,Northern waterthrush
2989,SLEV,Prairie warbler
2990,SLEV,Caribbean dove
2991,SLEV,Golden warbler
2992,SLEV,Yellow warbler
2993,SLEV,Caribbean elaenia
2994,SLEV,Pearly  eyed thrasher
2995,SLEV,Dendroica petechia
2996,SLEV,Northern waterthrush
2997,SLEV,Prairie warbler
2998,WNV,Caribbean dove
2999,WNV,Golden warbler
3000,WNV,Yellow warbler
3001,WNV,Caribbean elaenia
3002,WNV,Pearly  eyed thrasher
3003,WNV,Dendroica petechia
3004,WNV,Northern waterthrush
3005,WNV,Prairie warbler
3006,WNV,Caribbean dove
3007,WNV,Golden warbler
3008,WNV,Yellow warbler
3009,WNV,Caribbean elaenia
3010,WNV,Pearly  eyed thrasher
3011,WNV,Dendroica petechia
3012,WNV,Northern waterthrush
3013,WNV,Prairie warbler
3014,WNV,Caribbean dove
3015,WNV,Golden warbler
3016,WNV,Yellow warbler
3017,WNV,Caribbean elaenia
3018,WNV,Pearly  eyed thrasher
3019,WNV,Dendroica petechia
3020,WNV,Northern waterthrush
3021,WNV,Prairie warbler
3022,JEV,human
3023,JEV,human
3024,NGS,Whitehead
3025,NGS,Whitehead
3026,USUTU virus,chicken
3027,USUTU virus,Gallus domesticus
3028,WNV,woodchuck
3029,WNV,Marmota monax
3030,SMRV,monkey
3031,SMRV,monkey
3032,squirrel monkey retrovirus,monkey
3033,West Nile virus,monkey
3034,WNV,monkey
3035,FBS,green monkey
3036, FBS ,green monkey
3037,TBE virus,cattle
3038,USUTU VIRUS,house sparrow
3039,WNV,Pandion haliaetus
3040,Japanese encephalitis,human
3041,CHIK,human
3042,CHIK,human
3043,Tembusu,human
3044,CHIK,human
3045,Zika,human
3046,TBE,red fox
3047,TBE,red fox
3048,TBEV,red fox
3049,TBEV,red fox
3050, TBE ,sheep
3051,tick  borne encephalitis virus,sheep
3052,tick  borne encephalitis,sheep
3053, TBEV ,sheep
3054,TBEV,H inermis
3055,TBEV,human
3056,TBEV,common redstart
3057,TBEV,fieldfare
3058,TBEV,tree pipit
3059,tick  borne encephalitis virus,mouse
3060,USUV,chicken
3061,WNV,P montanus
3062,WNV,Passer domesticus
3063, HIT ,P montanus
3064, HIT ,Passer domesticus
3065,WNV,P montanus
3066,WNV,Passer domesticus
3067,Rio Bravo virus,Chaerephon pumilus
3068,Rio Bravo virus,little free  tailed bat
3069,Entebbe bat,Chaerephon pumilus
3070,Entebbe bat,little free  tailed bat
3071,Bat virus,Chaerephon pumilus
3072,Bat virus,little free  tailed bat
3073,TBEV,Microtus arvalis
3074,TBEV,Myodes rufocanus
3075,TBEV,Microtus arvalis
3076,TBEV,Myodes rufocanus
3077,TBEV,Microtus arvalis
3078,TBEV,Myodes rufocanus
3079,Usutu virus,Pyrrhula pyrrhula
3080,Usutu virus,Dendrocopos major
3081,Usutu virus,great spotted woodpecker
3082,West Nile,Goose
3083,West Nile,Human
3084,West Nile,Phoenicopterus chilensis
3085,West Nile,Chilean flamingo
3086,TBEV,A pallipes
3087,TBEV,mice
3088,West Nile virus,Corvus mellori
3089,West Nile virus,little raven
3090,JEV,human
3091,JEV,human
3092,Zika virus,rhesus monkey
3093,Zika,rhesus monkey
3094,TBEV,Apodemus
3095,TBEV,A pallipes
3096,TBEV,mice
3097,PAP,mouse
3098,PAP,goat
3099,PAP,mouse
3100,PAP,mouse
3101,BHK,mouse
3102,BHK,goat
3103,BHK,mouse
3104,BHK,mouse
3105, PAP ,mouse
3106, PAP ,goat
3107, PAP ,mouse
3108, PAP ,mouse
3109,SLEV,House Finch
3110,SLEV,Mourning Dove
3111,SLEV,Passer domesticus
3112,SLEV,House Sparrow
3113,West Nile virus,Red  shouldered Hawk
3114,West Nile virus,Buteo lineatus
3115,KFDV,monkeys
3116,TBE,human
3117,Powassan virus,Peromyscus leucopus
3118,WNV,C flaveola
3119,WNV,chicken
3120,WNV,T leucomelas
3121,WNV,pale  breasted thrush
3122,WNV,bananaquit
3123,WNV,G gallus
3124,TBEV,brambling
3125,TBEV,brambling
3126,TBE,sheep
3127,TBE,goat
3128,TBEV,sheep
3129,TBEV,goat
3130, WNV ,human
3131,West Nile virus,human
3132, SLEV ,human
3133,WNV,white stork
3134,West Nile,Cattle
3135,West Nile,Dog
3136,West Nile,Goat
3137,Sindbis,Cattle
3138,Sindbis,Dog
3139,Sindbis,Goat
3140,Langat,Cattle
3141,Langat,Dog
3142,Langat,Goat
3143,Usutu,Turkey
3144, DENV ,Turkey
3145,Sindbis,Turkey
3146, BATV ,Turkey
3147, TAHV ,Turkey
3148, USUV ,Turkey
3149, WNV ,Turkey
3150, SINV ,Turkey
3151,Dengue,Turkey
3152, LEDV ,Turkey
3153, INKV ,Turkey
3154,West Nile,Turkey
3155,KFD,human
3156,West Nile virus,mouse
3157,USUV,Blackbird
3158,JEV,pig
3159,JEV,pig
3160,TBE virus,sheep
3161,Langat,Dog
3162,TBE,Dog
3163,TBEV,human
3164,USUV,Blackbird
3165,TBEV,sheep
3166,TBEV,Apodemus
3167,USUV,Turdus merula
3168,WNV,Ovis aries
3169,WNV,Cervus elaphus
3170,WNV,red sheep
3171,WNV,red deer
3172,WNV,Dama dama
3173,WNV,European roe
3174,WNV,Capreolus capreolus
3175,WNV,fallow deer
3176,TBEV,mice
3177,SLEV,Spotted Dove
3178,SLEV,Java Sparrow
3179,SLEV,Spotted Dove
3180,JEV,Spotted Dove
3181,JEV,Java Sparrow
3182,JEV,Spotted Dove
3183,YFV,mice
3184,YFV,mice
3185,ENTV,mice
3186,ENTV,mice
3187,ENTV,mice
3188,ENTV,mice
3189,ENTV,mice
3190,ENTV,mice
3191,ENTV,mice
3192,ENTV,mice
3193,Entebbe bat virus,mice
3194,Entebbe bat virus,mice
3195,Entebbe bat virus,mice
3196,Entebbe bat virus,mice
3197,TBEV,goat
3198,MVEV,human
3199,MVEV,horse
3200,West Nile virus,human
3201,West Nile virus,Hispid cotton rat
3202,West Nile virus,Rattus norvegicus
3203,West Nile virus,Fox squirrel
3204,West Nile virus,Rattus norvegicus
3205,West Nile virus,R rattus
3206,West Nile virus,Sciurus niger
3207,West Nile virus,Sigmodon hispidus
3208,West Nile virus,Rattus rattus
3209,West Nile virus,Rattus sp
3210,West Nile virus,R rattus
3211,West Nile virus,R rattus
3212,West Nile virus,R rattus
3213,West Nile virus,Red squirrel
3214,West Nile virus,Western gray squirrel
3215,West Nile virus,European ground squirrel
3216,West Nile virus,Eastern gray squirrel
3217,West Nile virus,Eastern chipmunk
3218,West Nile virus,Tamiasciurus hudsonicus
3219,West Nile virus,Brown rat
3220,West Nile virus,Roof rat
3221,West Nile virus,Sciurus griseus
3222,West Nile virus,Tamias striatus
3223,West Nile virus,Sciurus carolinensis
3224,WNV,Hispid cotton rat
3225,WNV,Rattus norvegicus
3226,WNV,Fox squirrel
3227,WNV,Rattus norvegicus
3228,WNV,R rattus
3229,WNV,Sciurus niger
3230,WNV,Sigmodon hispidus
3231,WNV,Rattus rattus
3232,WNV,Rattus sp
3233,WNV,R rattus
3234,WNV,R rattus
3235,WNV,R rattus
3236,WNV,Red squirrel
3237,WNV,Western gray squirrel
3238,WNV,European ground squirrel
3239,WNV,Eastern gray squirrel
3240,WNV,Eastern chipmunk
3241,WNV,Tamiasciurus hudsonicus
3242,WNV,Brown rat
3243,WNV,Roof rat
3244,WNV,Sciurus griseus
3245,WNV,Tamias striatus
3246,WNV,Sciurus carolinensis
3247,TBE,monkeys
3248,Zika virus,monkeys
3249,Zika virus,human
3250,USUV,great spotted woodpecker
3251, NSP ,great spotted woodpecker
3252,ZIKV,monkeys
3253,yellow fever virus,monkeys
3254,Zika,monkeys
3255,yellow fever virus,monkeys
3256,TBEV,Apodemus
3257,TBEV,mice
3258,WNV,Magpie
3259,WNV,Magpie
3260,SINV,Magpie
3261,WNV,Magpie
3262,WNV,Magpie
3263,WNV,Magpie
3264,WNV,Magpie
3265,WNV,Magpie
3266,LIV,Magpie
3267,WNV,Magpie
3268,USUV,Magpie
3269,WNV,Magpie
3270,WNV,Magpie
3271,TBE,Passer domesticus
3272,TBE,C flammea
3273,TBE,F atra
3274,TBEV,Passer domesticus
3275,TBEV,C flammea
3276,TBEV,F atra
3277,TBEV,human
3278,SLEV,Picui Ground  Dove
3279,SLEV,Columbina picui
3280,SLEV,Rufous Hornero
3281,SLEV,Furnarius rufus
3282,SLEV,Bay  winged Cowbird
3283,SLEV,House Sparrow
3284,SLEV,Passer domesticus
3285,SLEV,Great Kiskadee
3286,SLEV,Agelaioides badius
3287,SLEV,Eared Dove
3288,SLEV,Pitangus sulphuratus
3289,TBE,human
3290,TBE,human
3291,TBEV,Microtus arvalis
3292,USUV,human
3293,Omsk hemorrhagic fever,Sheep
3294,Omsk hemorrhagic fever,human
3295,tick  borne encephalitis,Sheep
3296,tick  borne encephalitis,human
3297,Powassan,Sheep
3298,Powassan,human
3299,Louping ill,Sheep
3300,Louping ill,human
3301,tick  borne encephalitis virus,Sheep
3302,tick  borne encephalitis virus,human
3303,TBEV,Turkey
3304,WNV,Sylvia borin
3305,WNV,Milvus migrans
3306,WNV,Phoenicurus phoenicurus
3307,WNV,Pandion haliaetus
3308,WNV,Ficedula hypoleuca
3309,WNV,Ciconia ciconia
3310,WNV,Erithacus rubecula
3311,WNV,Motacilla flava
3312,WNV,Haliaeetus albicilla
3313,WNV,Lanius collurio
3314,JEV,Murina aurata
3315,JEV,little tube  nosed bat
3316,TBEV,sheep
3317,tick  borne encephalitis virus,Clethrionomys glareolus
3318,tick  borne encephalitis virus,Apodemus flavicollis
3319,JEV,human
3320,TBE,human
3321,TBE virus,dog
3322,West Nile virus,Caracara cheriway
3323,West Nile virus,Crested Caracara
3324,DENV,monkeys
3325,WNV,human
3326,WNV,human
3327,BHK,A speciosus
3328,ENTV,eloquent horseshoe bat
3329,ENTV,Egyptian fruit bat
3330,ENTV,Rhinolophus hildebrandtii
3331,ENTV,Mops condylurus
3332,ENTV,Rousettus aegyptiacus
3333,bat virus,eloquent horseshoe bat
3334,bat virus,Egyptian fruit bat
3335,bat virus,Rhinolophus hildebrandtii
3336,bat virus,Mops condylurus
3337,bat virus,Rousettus aegyptiacus
3338,Bukalasa bat virus,eloquent horseshoe bat
3339,Bukalasa bat virus,Egyptian fruit bat
3340,Bukalasa bat virus,Rhinolophus hildebrandtii
3341,Bukalasa bat virus,Mops condylurus
3342,Bukalasa bat virus,Rousettus aegyptiacus
3343,ENTV,eloquent horseshoe bat
3344,ENTV,Egyptian fruit bat
3345,ENTV,Rhinolophus hildebrandtii
3346,ENTV,Mops condylurus
3347,ENTV,Rousettus aegyptiacus
3348,Entebbe bat virus,eloquent horseshoe bat
3349,Entebbe bat virus,Egyptian fruit bat
3350,Entebbe bat virus,Rhinolophus hildebrandtii
3351,Entebbe bat virus,Mops condylurus
3352,Entebbe bat virus,Rousettus aegyptiacus
3353,bat virus,eloquent horseshoe bat
3354,bat virus,Egyptian fruit bat
3355,bat virus,Rhinolophus hildebrandtii
3356,bat virus,Mops condylurus
3357,bat virus,Rousettus aegyptiacus
3358,bat virus,eloquent horseshoe bat
3359,bat virus,Egyptian fruit bat
3360,bat virus,Rhinolophus hildebrandtii
3361,bat virus,Mops condylurus
3362,bat virus,Rousettus aegyptiacus
3363,ENTV,eloquent horseshoe bat
3364,ENTV,Egyptian fruit bat
3365,ENTV,Rhinolophus hildebrandtii
3366,ENTV,Mops condylurus
3367,ENTV,Rousettus aegyptiacus
3368,Bukalasa bat virus,eloquent horseshoe bat
3369,Bukalasa bat virus,Egyptian fruit bat
3370,Bukalasa bat virus,Rhinolophus hildebrandtii
3371,Bukalasa bat virus,Mops condylurus
3372,Bukalasa bat virus,Rousettus aegyptiacus
3373,Dakar bat virus,eloquent horseshoe bat
3374,Dakar bat virus,Egyptian fruit bat
3375,Dakar bat virus,Rhinolophus hildebrandtii
3376,Dakar bat virus,Mops condylurus
3377,Dakar bat virus,Rousettus aegyptiacus
3378,Dakar bat virus,eloquent horseshoe bat
3379,Dakar bat virus,Egyptian fruit bat
3380,Dakar bat virus,Rhinolophus hildebrandtii
3381,Dakar bat virus,Mops condylurus
3382,Dakar bat virus,Rousettus aegyptiacus
3383,KFDV,monkeys
3384,KFDV,monkey
3385,WNV,Blackbird
3386,WNV,Blackbird
3387,WNV,Blackbird
3388,WNV,Blackbird
3389,WNV,Blackbird
3390,WNV,Blackbird
3391,WNV,Blackbird
3392,WNV,Blackbird
3393,WNV,Blackbird
3394,WNV,Blackbird
3395,SINV,Lagopus lagopus
3396,CEEV,human
3397,Changuinola virus,human
3398,JEV,human
3399,DENV,human
3400,SLEV,Taraba major
3401,SLEV,Troglodytes aedon
3402,MVEV,pig
3403,JEV,pig
3404,KUNV,pig
3405,JEV,pig
3406,AAHL,pig
3407,TBEV,cow
3408,TBEV,cow
3409,WNV,Eptesicus fuscus
3410,WNV,northern myotis
3411,WNV,little brown myotis
3412,WNV,Myotis septentrionalis
3413,WNV,Myotis lucifugus
3414,West Nile virus,human
3415,WNV,human
3416, WNV ,human
3417,TBEV,mouse
3418,USUV,human
3419,CEEV,pig
3420,CEEV,sheep
3421,WNV,P haliaetus
3422,WNV,Phoenicurus phoenicurus
3423,WNV,C ciconia
3424,USUV,P haliaetus
3425,USUV,Phoenicurus phoenicurus
3426,USUV,C ciconia
3427,Murray Valley encephalitis virus,human
3428, MVEV ,human
3429,Japanese encephalitis virus,human
3430, WNV ,human
3431, JEV ,human
3432,Saint Louis encephalitis virus,human
3433,West Nile virus,human
3434, SLEV ,human
3435,JEV,human
3436,SLEV,human
3437,SLEV,human
3438,WNV,horse
3439,USUV,Turdus iliacus
3440,USUV,T pilaris
3441,USUV,rabbit
3442,ZIKV,mice
3443,ZIKV,mouse
3444,ZIKV,mouse
3445,JEV,chicken
3446,JEV,human
3447,ZIKV,water buffalo
3448,ZIKV,sheep
3449,ZIKV,impala
3450, EEEV ,Caracara cheriway
3451, WNV ,Caracara cheriway
3452, FLAV ,Caracara cheriway
3453, SLEV ,Caracara cheriway
3454,West Nile virus,Caracara cheriway
3455,eastern equine encephalitis virus,Caracara cheriway
3456,WNV,Equus caballus
3457,WNV,striped skunk
3458,WNV,Mephitis mephitis
3459,JEV,chicken
3460,JEV,chicken
3461,BHK,chicken
3462,ZIKV,human
3463,Dengue virus,monkeys
3464,West Nile,human
3465,West Nile virus,human
3466, SSEV ,sheep
3467,TBEV,human
3468,Kyasanur Forest disease,monkeys
3469,TBEV,Vulpes vulpes
3470,TBE,Vulpes vulpes
3471,TBE,Vulpes vulpes
3472,louping ill,human
3473,duck circovirus,duck
3474,duck circovirus,duck
3475,duck circovirus,Muscovy duck
3476,duck circovirus,goose
3477,duck circovirus,goose
3478,duck circovirus,duck
3479,duck circovirus,goose
3480,duck circovirus,duck
3481,TBE,Cervus elaphus
3482,TBE,Cervus elaphus
3483,TBEV,red deer
3484,TBE,cattle
3485,WNV,Chicken
3486,WNV,Turkey
3487,WNV,Green woodpecker
3488,WNV,Magpie
3489,WNV,Duck
3490,WNV,Chicken
3491,WNV,Turkey
3492,WNV,Green woodpecker
3493,WNV,Magpie
3494,WNV,Duck
3495,WNV,Chicken
3496,WNV,Turkey
3497,WNV,Green woodpecker
3498,WNV,Magpie
3499,WNV,Duck
3500,WNV,Chicken
3501,WNV,Turkey
3502,WNV,Green woodpecker
3503,WNV,Magpie
3504,WNV,Duck
3505,WNV,Chicken
3506,WNV,Turkey
3507,WNV,Green woodpecker
3508,WNV,Magpie
3509,WNV,Duck
3510,WNV,Chicken
3511,WNV,Turkey
3512,WNV,Green woodpecker
3513,WNV,Magpie
3514,WNV,Duck
3515,WNV,Chicken
3516,WNV,Turkey
3517,WNV,Green woodpecker
3518,WNV,Magpie
3519,WNV,Duck
3520,WNV,Chicken
3521,WNV,Turkey
3522,WNV,Green woodpecker
3523,WNV,Magpie
3524,WNV,Duck
3525,WNV,Chicken
3526,WNV,Turkey
3527,WNV,Green woodpecker
3528,WNV,Magpie
3529,WNV,Duck
3530,WNV,Chicken
3531,WNV,Turkey
3532,WNV,Green woodpecker
3533,WNV,Magpie
3534,WNV,Duck
3535,WNV,Chicken
3536,WNV,Turkey
3537,WNV,Green woodpecker
3538,WNV,Magpie
3539,WNV,Duck
3540,WNV,Chicken
3541,WNV,Turkey
3542,WNV,Green woodpecker
3543,WNV,Magpie
3544,WNV,Duck
3545,WNV,Chicken
3546,WNV,Turkey
3547,WNV,Green woodpecker
3548,WNV,Magpie
3549,WNV,Duck
3550,WNV,Chicken
3551,WNV,Turkey
3552,WNV,Green woodpecker
3553,WNV,Magpie
3554,WNV,Duck
3555,WNV,Chicken
3556,WNV,Turkey
3557,WNV,Green woodpecker
3558,WNV,Magpie
3559,WNV,Duck
3560,WNV,Chicken
3561,WNV,Turkey
3562,WNV,Green woodpecker
3563,WNV,Magpie
3564,WNV,Duck
3565,WNV,Chicken
3566,WNV,Turkey
3567,WNV,Green woodpecker
3568,WNV,Magpie
3569,WNV,Duck
3570,WNV,Chicken
3571,WNV,Turkey
3572,WNV,Green woodpecker
3573,WNV,Magpie
3574,WNV,Duck
3575,SIN,human
3576,DEN,human
3577,dengue virus,human
3578,dengue virus,human
3579,Usutu virus,human
3580,JEV,mice
3581,Tembusu virus,human
3582,WNV,striped skunk
3583,yellow fever virus,human
3584,dengue virus,human
3585,Japanese encephalitis virus,human
3586,TBE virus,human
3587,TBEV,M glareolus
3588,TBEV,cow
3589,TBEV,blackbird
3590,USUV,blackbird
3591, TBEV ,blackbird
3592,West Nile,blackbird
3593,USUV,blackbird
3594,WNV,Pandion haliaetus
3595,TBE,monkey
3596,TBE,sheep
3597,TBE,human
3598,TBEV,mice
3599,TBE,human
3600,TBE,human
3601,TBE,human
3602,TBEV,red deer
3603,ZIKV,Human
3604,WNV,Eidolon helvum
3605,WNV,Chaerephon pumilus
3606,WNV,Mops condylurus
3607,louping ill virus,sheep
3608,USUV,blackbird
3609,JE virus,horse
3610,JE virus,dog
3611,JE virus,dog
3612,TBE virus,horse
3613,TBE virus,dog
3614,TBE virus,dog
3615,TBE,horse
3616,TBE,dog
3617,TBE,dog
3618,dengue virus,Macaca sinica
3619,tick  borne encephalitis,goat
3620,FSME,goat
3621,CGLV,Choloepus hoffmanni
3622,CGLV,Bradypus variegatus
3623,BAT virus,human
3624,USUV,chicken
3625,West Nile,human
3626,Usutu,human
3627,yellow fever,Human
3628,Kyasanur Forest disease,monkeys
3629,WNV,Haliaeetus albicilla
3630,WNV,Accipiter gentilis
3631,WNV,Milvus migrans
3632,WNV,cattle
3633,WNV,sheep
3634,WNV,Mouse
3635,WNV,mice
3636,SLEV,Mouse
3637,SLEV,mice
3638,yellow fever,monkeys
3639,yellow fever,monkeys
3640,yellow fever,human
3641,dengue,human
3642,hit,monkey
3643,SLEV,human
3644,SLEV,human
3645,SLEV,human
3646,ILH virus,agouti
3647,YF virus,agouti
3648,USUV,human
3649,Modoc,black rat
3650,yellow fever,black rat
3651,Apoi,black rat
3652,ROCV,horse
3653,yellow fever,monkeys
3654,WNV,horse
3655,YF virus,monkey
3656,yellow fever,human
3657,West Nile virus,human
3658,USUV,horse
3659,WNV,horse
3660,SLE virus,monkeys
3661, ILHV ,human
3662,Cacipacore virus,human
3663,Ilheus virus,human
3664, BSQV ,human
3665, CPCV ,human
3666,YF virus,monkeys
3667,YF virus,Saguinus geoffroyi
3668,YF virus,Aotus trivirgatus
3669,YF virus,night monkey
3670,PRN,monkeys
3671,PRN,Saguinus geoffroyi
3672,PRN,Aotus trivirgatus
3673,PRN,night monkey
3674,YF virus,monkeys
3675,YF virus,Saguinus geoffroyi
3676,YF virus,Aotus trivirgatus
3677,YF virus,night monkey
3678,yellow fever,monkeys
3679, SLEV ,human
3680, DENV ,human
3681,Dengue virus,human
3682, WNV ,human
3683,West Nile virus,human
3684, SLE ,Choloepus hoffmanni
3685,WNV,human
3686, WND ,human
3687,Yellow Fever,Alouatta guariba
3688,Yellow Fever,Monkey
3689,Yellow Fever,A caraya
3690,yellow fever virus,monkeys
3691,yellow fever virus,monkeys
3692,Modoc,R rattus
3693,yellow fever,R rattus
3694,Apoi,R rattus
3695,EEE virus,Mesocricetus auratus
3696,ILH virus,Dasyprocta punctata
3697,ILH,Dasyprocta punctata
3698,BSQ,Dasyprocta punctata
3699,VSNJ,A jamaicensis
3700,Japanese encephalitis virus,Eptesicus fuscus
3701, JEV ,Eptesicus fuscus
3702,YFV,R rattus
3703,yellow fever,Bradypus variegatus
3704,yellow fever,monkeys
3705,yellow fever,Choloepus didactylus
3706,yellow fever,Choloepus hoffmanni
3707,YF virus,Bradypus variegatus
3708,YF virus,monkeys
3709,YF virus,Choloepus didactylus
3710,YF virus,Choloepus hoffmanni
3711,WNV,Human
3712,YF virus,monkey
3713,RB virus,T brasiliensis
3714,RB virus,E fuscus
3715,yellow fever,human
3716,Yellow fever,human
3717,PRN,monkeys
3718,yellow fever,monkeys
3719,YFV,M musculus
3720,YFV,R rattus
3721,yellow fever,Alouatta caraya
3722,yellow fever,Alouatta guariba
3723,yellow fever,black howler
3724,yellow fever,brown howler
3725,yellow fever,monkey
3726,WNV,sheep
3727,yellow fever,human
3728,yellow fever,monkeys
3729,ILH,D punctata
3730,SLE virus,D punctata
3731, SLE ,human
3732, SLE ,human
3733,YF virus,human
3734,YF virus,human
3735,SLE virus,human
3736,SLE virus,human
3737,SLE virus,human
3738,SLE virus,human
3739,YF virus,human
3740,YF virus,human
3741,SLE virus,human
3742,SLE virus,human
3743,West Nile virus,human
3744,Mayaro,Dasyprocta punctata
3745,Mayaro,monkeys
3746,PRN,Dasyprocta punctata
3747,PRN,monkeys
3748,Mayaro virus,Dasyprocta punctata
3749,Mayaro virus,monkeys
3750,SLE virus,Carollia perspicillata
3751,SLE virus,Didelphis marsupialis
3752,SLE virus,Artibeus jamaicensis
3753,SLE virus,Metachirus nudicaudatus
3754,SLE virus,Artibeus lituratus
3755,ILH,Carollia perspicillata
3756,ILH,Didelphis marsupialis
3757,ILH,Artibeus jamaicensis
3758,ILH,Metachirus nudicaudatus
3759,ILH,Artibeus lituratus
3760,BSQ,Carollia perspicillata
3761,BSQ,Didelphis marsupialis
3762,BSQ,Artibeus jamaicensis
3763,BSQ,Metachirus nudicaudatus
3764,BSQ,Artibeus lituratus
3765,Mayaro virus,Carollia perspicillata
3766,Mayaro virus,Didelphis marsupialis
3767,Mayaro virus,Artibeus jamaicensis
3768,Mayaro virus,Metachirus nudicaudatus
3769,Mayaro virus,Artibeus lituratus
3770,SLE,Carollia perspicillata
3771,SLE,Didelphis marsupialis
3772,SLE,Artibeus jamaicensis
3773,SLE,Metachirus nudicaudatus
3774,SLE,Artibeus lituratus
3775,Mayaro virus,monkeys
3776,Mayaro virus,D punctata
3777,yellow fever,brown howler monkey
3778,measles morbillivirus,human
3779,YF virus,monkeys
3780,SLE virus,Tyrannus melancholicus
3781,SLE virus,tropical kingbird
3782,WNV,sheep
3783,Yellow Fever,Monkeys
3784,OPS,monkeys
3785,OPS,black howler
3786,yellow fever,monkeys
3787,yellow fever,black howler
3788,TCR,A lituratus
3789,TCR,A lituratus
3790,WEE virus,A lituratus
3791,WEE virus,A lituratus
3792,West Nile virus,Columba livia
3793,yellow fever,tufted capuchin
3794,yellow fever,monkey
3795,West Nile virus,sheep
3796,yellow fever,monkeys
3797,SLEV,horse
3798,ILHV,horse
3799,YFV,horse
3800,ROCV,horse
3801,YF virus,monkey
3802,SLE virus,monkey
3803,WEE,A lituratus
3804,ILH virus,Dasyprocta punctata
3805,Yellow Fever,Monkeys
3806,yellow fever,monkeys
3807,WNV,starling
3808,WNV,blue tit
3809,Tembusu virus,monkeys
3810,DENV,Carollia perspicillata
3811,DENV,human
3812,DENV,Carollia perspicillata
3813,DENV,human
3814,DENV,Carollia perspicillata
3815,DENV,human
3816,DENV,Carollia perspicillata
3817,DENV,human
3818,dengue,Carollia perspicillata
3819,dengue,human
3820,WNV,marsh warbler
3821,USUV,marsh warbler
3822,Zika virus,monkey
3823,Zika Virus,Monkey
3824,louping ill virus,sheep
3825,USUV,Starling
3826,USUV,Greater Spotted Eagle
3827,Zika Virus,Monkey
3828,Salmonella,swine
3829,Escherichia,swine
3830,SLE virus,turkey
3831,DENV,G soricina
3832,DENV,S ludovici
3833,DENV,Desmodus rotundus
3834,DENV,Uroderma bilobatum
3835,DENV,Artibeus jamaicensis
3836,DENV,Platyrrhinus helleri
3837,DENV,S bilineata
3838,DENV,A phaeotis
3839,DENV,Glossophaga commissarisi
3840,DENV,Pteronotus davyi
3841,DENV,Carollia perspicillata
3842,DENV,Sturnira lilium
3843,DENV,Hylonycteris underwoodi
3844,DENV,A lituratus
3845,DENV,C sowelli
3846,TBE,mouflon
3847,WNV,European Starling
3848,WNV,moustached warbler
3849,WNV,Acrocephalus melanopogon
3850,WNV,reed warbler
3851,Zika virus,human
3852,Zika virus,monkey
3853,Zika virus,human
3854,Zika virus,monkey
3855,TBE virus,sheep
3856,MVEV,human
3857,MVEV,human
3858,WNV,human
3859,Apoi,turkey
3860,APOI,turkey
3861,Saboya,turkey
3862,TBEV,goat
3863,TBEV,sheep
3864,TBEV,sheep
3865,TBEV,human
3866,louping ill virus,goat
3867,louping ill virus,sheep
3868,louping ill virus,sheep
3869,louping ill virus,human
3870,USUV,common coot
3871,USUV,Magpie
3872,Murray Valley encephalitis,human
3873,Murray Valley encephalitis,human
3874, MVE ,human
3875, MVE ,human
3876,Japanese encephalitis,human
3877,Japanese encephalitis,human
3878,dengue,human
3879,dengue,human
3880,West Nile,human
3881,West Nile,human
3882,WN virus,human
3883,MVE,human
3884,Entebbe bat,turkey
3885,Rio Bravo,turkey
3886,Apoi,turkey
3887,Dakar bat,turkey
3888,Bukalasa bat,turkey
3889,Saboya,turkey
3890,Koutango,turkey
3891,CPE,turkey
3892,SLE virus,turkey
3893,Koutango,turkey
3894,Zika virus,human
3895,Zika virus,human
3896,USUV,Blackbird
3897, EDTA ,mouse
3898,WNV,mouse
3899,dengue virus,monkeys
3900,TBEV,mouflon
3901,TBEV,mouflon
3902, TBEV ,mouflon
3903,WNV,human
3904,WNV,human
3905,TBEV,mouflon
3906,TBEV,mouflon
3907,Dengue,human
3908,Dengue,human
3909,TBE,human
3910,Murray Valley encephalitis virus,horse
3911,Zika virus,monkey
3912,JE virus,Nycticorax nycticorax
3913,Koutango,turkey
3914,FUAS,turkey
3915,WNV,coot
3916,Usutu virus,coot
3917,WNV,coot
3918,Usutu,coot
3919,Wesselsbron virus,human
3920,Wesselsbron virus,human
3921,Rio Bravo virus,human
3922,DENV,human
3923,Modoc virus,mice
3924,Modoc virus,Peromyscus maniculatus
3925,louping ill virus,sheep
3926,louping ill virus,mice
3927,louping ill virus,pig
3928,tick  borne encephalitis,sheep
3929,West Nile virus,Columba livia
3930,WNV,Spotted Eagle
3931,WNV,magpie
3932,USUV,Spotted Eagle
3933,USUV,magpie
