id,virus,host,probability_positive
378,USUTU virus,Chicken,0.245508239
379,USUTU virus,Chicken,0.245508239
380,USUTU virus,Chicken,0.245508239
381,USUTU virus,Chicken,0.245508239
382,USUTU virus,Chicken,0.245508239
383,USUTU virus,Chicken,0.245508239
384,USUTU virus,Chicken,0.245508239
385,USUTU virus,Chicken,0.245508239
386,USUTU virus,Chicken,0.245508239
387,USUTU virus,Chicken,0.245508239
388,USUTU virus,Chicken,0.245508239
389,USUTU virus,Chicken,0.245508239
390,USUTU virus,Chicken,0.245508239
391,USUTU virus,Chicken,0.245508239
392,USUTU virus,Chicken,0.245508239
393,USUTU virus,Chicken,0.245508239
394,USUTU virus,Chicken,0.245508239
395,USUTU virus,Chicken,0.245508239
396,USUV,Chicken,0.5
397,USUV,Chicken,0.5
398,USUV,Chicken,0.21137518
399,USUV,Chicken,0.5
400,USUV,Chicken,0.21137518
401,USUV,Chicken,0.21137518
402,USUV,Chicken,0.21137518
403,USUV,Chicken,0.21137518
404,USUV,Chicken,0.21137518
405,USUV,Chicken,0.21137518
406,USUV,Chicken,0.21137518
407,USUV,Chicken,0.21137518
408,USUV,Chicken,0.21137518
409,USUV,Chicken,0.21137518
410,USUV,Chicken,0.21137518
411,USUV,Chicken,0.21137518
412,USUV,Chicken,0.21137518
413,USUV,Chicken,0.21137518
414,USUV,Chicken,0.21137518
415,USUV,Chicken,0.21137518
416,TBEV,Chicken,0.5
417,TBEV,Chicken,0.21137518
418,TBEV,Chicken,0.21137518
419,TBEV,Chicken,0.21137518
420,TBEV,Chicken,0.21137518
421,TBEV,Chicken,0.21137518
422,TBEV,Chicken,0.21137518
423,TBEV,Chicken,0.21137518
424,TBEV,Chicken,0.21137518
425,TBEV,Chicken,0.21137518
426,TBEV,Chicken,0.21137518
427,TBEV,Chicken,0.21137518
428,TBEV,Chicken,0.21137518
429,TBEV,Chicken,0.21137518
430,TBEV,Chicken,0.21137518
431,TBEV,Chicken,0.21137518
432,TBEV,Chicken,0.21137518
433,TBEV,Chicken,0.21137518
434,TBEV,Chicken,0.21137518
435,TBEV,Chicken,0.21137518
436,TBEV,Chicken,0.5
437,TBEV,Chicken,0.5
438,TBEV,Chicken,0.21137518
439,TBEV,Chicken,0.21137518
440,TBEV,Chicken,0.21137518
441,TBEV,Chicken,0.21137518
442,TBEV,Chicken,0.21137518
443,TBEV,Chicken,0.21137518
444,TBEV,Chicken,0.21137518
445,TBEV,Chicken,0.21137518
446,TBEV,Chicken,0.21137518
447,TBEV,Chicken,0.21137518
448,TBEV,Chicken,0.21137518
449,TBEV,Chicken,0.21137518
450,TBEV,Chicken,0.21137518
